"","CompanyName","Total_employees","Headquarters","Location_India","Glassdoor_rating"
"1","Alabs.ai",NA,NA,NA,NA
"2","Accenture Analytics","10,000+","Dublin, Ireland","Bangalore, Mumbai, Gurgaon, Noida, Pune, Ghaziabad, Hyderabad, Kolkata, Delhi","4.1"
"3","Gramener","51-200","Princeton NJ (US)","Bengaluru and Hyderabad","4.3"
"4","Datalicious","50","Sydney, Australia","Bengaluru","3.8"
"5","Crayon Data","51-200","Singapore","Chennai","4.2"
"6","Convergytics","1-50","Bengaluru","Bengaluru","4.5"
"7","VirtusaPolaris","10,000+","Westborough, MA (US)","Bengaluru, Pune, New Delhi, Chennai, Hyderabad, Thane, Gurgaon, Mumbai","3.7"
"8","47Billion","50-250","Indore","Indore","4.5"
"9","AbsolutData","200-500","Alameda, CA (US)","Gurgaon, New Delhi, Bangalore","3.3"
"10","Cartesian Consulting","200-500","Mumbai","Bengaluru, Delhi, Mumbai","3.4"
"11","Zendrive","50-200","San Francisco, CA (US)","Bangalore","4.3"
